loc,v(g),ev(g),iv(g),n,v,d,e,defects
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,0
1,1,1,1,1,1,1,1,1
83,11,1,11,171,927.89,23.04,21378.61,1
46,8,6,8,141,769.78,14.86,11436.73,1
25,3,1,3,58,254.75,9.35,2381.95,1
43,3,1,3,115,569.73,11.27,6423.73,1
48,6,1,6,149,751.61,15.43,11596.34,1
69,12,1,12,231,1212.27,27.27,33061.94,1
47,6,1,6,149,745,16.2,12069,1
48,7,1,7,155,801.34,17.82,14278.39,1
58,9,1,9,193,1027.13,20.7,21261.63,1
65,6,1,5,155,801.34,19.73,15808.22,1
116,11,4,8,289,1700.08,26.6,45222.23,1
24,4,1,4,74,347.83,11.37,3953.7,1
77,19,12,19,231,1245.63,29.25,36434.54,1
9,1,1,1,13,46.6,3.5,163.12,1
16,2,1,2,43,191.76,5.43,1040.96,1
93,7,3,6,257,1499.05,29.86,44757.43,1
23,1,1,1,67,307.19,4.74,1454.65,1
30,1,1,1,21,85.84,3.33,286.12,1
30,1,1,1,54,108,39,4212,1
35,3,1,3,108,529.94,13,6889.27,1
25,4,1,4,57,232.99,13.5,3145.3,1
20,7,7,3,54,240.81,9.58,2307.76,1
119,14,1,14,289,1605.28,30.72,49320.73,1
35,4,1,4,78,362.22,14.31,5182.54,1
33,4,1,4,73,334.7,14.5,4853.18,1
17,2,1,2,25,92.51,6.4,592.07,1
44,3,1,3,127,603.87,16,9661.93,1
84,15,9,15,230,1347.34,25.26,34029.33,1
56,3,1,3,150,769.39,14.09,10838.4,1
58,3,1,3,191,1016.49,21,21346.25,1
78,7,1,6,213,1189.6,17.71,21062.86,1
75,8,3,8,250,1356.57,29.1,39470.86,1
12,1,1,1,22,76.11,3.33,253.69,1
11,1,1,1,22,76.11,3.33,253.69,1
69,10,1,10,199,1059.06,25,26476.59,1
39,5,3,5,86,430,11.67,5016.67,1
53,5,1,5,113,579.61,9.65,5594.49,1
52,5,1,5,107,544.36,9.82,5344.61,1
30,2,1,2,74,330,12.5,4124.97,1
27,3,1,3,77,394.95,7.1,2805.82,1
47,7,1,6,105,525,12.05,6323.86,1
49,7,1,6,110,554.88,12.17,6755.1,1
7,1,1,1,14,50.19,3,150.57,1
66,12,5,12,177,922.07,20.45,18860.59,1
14,1,1,1,29,118.54,5.63,666.77,1
29,3,1,3,64,300.83,9.17,2757.59,1
6,1,1,1,14,48.43,2.5,121.08,1
12,1,1,1,36,140.65,5.25,738.4,1
38,7,1,7,119,583.92,16,9342.72,1
132,16,11,13,322,2052.76,29.65,60862.61,1
26,4,1,4,81,418.76,11.79,4935.43,1
56,5,1,4,178,988.72,13.19,13042.34,1
21,1,1,1,76,365.36,6.2,2265.23,1
43,6,5,5,95,508.97,18.9,9619.48,1
12,4,1,2,44,199.04,9.82,1954.18,1
11,1,1,1,26,98.99,6,593.95,1
26,2,1,2,68,319.63,7.15,2284.41,1
80,11,1,11,274,1637.77,28.71,47016.12,1
63,8,1,8,185,1069.55,24.33,26025.75,1
10,2,1,2,23,87.57,12.83,1123.8,1
9,2,1,1,31,129.27,5.6,723.9,1
35,5,1,4,89,448.95,20.4,9158.6,1
9,1,1,1,25,92.51,2.5,231.28,1
16,2,1,2,35,136.74,13.75,1880.19,1
5,1,1,1,10,28.07,3.75,105.28,1
16,1,1,1,28,109.39,4.57,500.08,1
4,1,1,1,7,19.65,3,58.95,1
12,2,1,2,24,88.81,3.43,304.49,1
8,2,1,1,20,74.01,5.25,388.55,1
4,1,1,1,5,11.61,2,23.22,1
14,2,1,2,29,120.93,6.87,831.38,1
56,3,1,2,101,537.51,7.5,4031.36,1
30,2,1,2,55,248.8,9.17,2280.63,1
52,8,1,8,247,1440.72,23.08,33247.47,1
41,6,3,6,109,572.02,18.45,10553.84,1
4,1,1,1,1,0,0,0,1
15,1,1,1,26,101.58,3.5,355.53,1
9,1,1,1,31,107.24,3.43,367.69,1
5,1,1,1,8,24,3,72,1
25,1,1,1,65,309.07,6.5,2008.94,1
45,1,1,1,0,0,0,0,1
4,1,1,1,4,8,1.5,12,1
23,3,1,2,70,316.65,14.18,4490.66,1
14,1,1,1,33,134.89,4.2,566.52,1
18,2,1,1,39,156,9.64,1504.29,1
40,4,1,3,110,544.96,15.17,8265.25,1
24,3,1,2,80,371.51,13.85,5143.96,1
52,6,1,5,133,670.9,16.25,10902.2,1
11,1,1,1,14,51.81,4,207.22,1
23,6,6,2,70,346.79,19.79,6863.63,1
4,1,1,1,4,8,1.5,12,1
38,8,8,5,191,1123.58,28.27,31758.83,1
113,15,11,14,527,3493.67,33.28,116258.98,1
8,1,1,1,26,106.27,3.85,409.16,1
38,6,3,6,167,894.71,20.8,18609.99,1
47,13,10,10,231,1303.73,36.93,48144.92,1
8,1,1,1,17,60.94,5,304.72,1
4,1,1,1,5,11.61,1.5,17.41,1
15,3,1,1,43,204.46,9.69,1981.69,1
38,5,1,5,61,307.71,15,4615.62,1
48,12,1,11,177,977.67,26.92,26321.9,1
70,15,14,3,293,1662.02,41.3,68641.45,1
23,5,3,3,116,633.29,22.8,14439.1,1
27,8,6,5,128,694.56,20.16,14002.37,1
10,1,1,1,26,104,4.28,444.89,1
13,1,1,1,46,213.62,7.46,1594.5,1
23,8,8,8,109,545,14.71,8017.24,1
11,4,4,4,38,164.23,9.78,1605.84,1
9,2,1,2,42,184.48,7.73,1425.51,1
11,3,3,2,43,202.12,6.97,1408.1,1
49,8,1,7,185,1088.29,17.81,19385.15,1
53,11,6,9,354,2139.72,44.31,94805.86,1
21,5,4,2,81,418.76,21,8794.04,1
